year	weekofyear	week_start_date	PERSIANN_precip_mm	NCEP_air_temp_k	NCEP_avg_temp_k	NCEP_dew_point_temp_k	NCEP_max_air_temp_k	NCEP_min_air_temp_k	NCEP_precip_kg_per_m2	NCEP_humidity_percent	NCEP_precip_mm	NCEP_humidity_g_per_kg	NCEP_diur_temp_rng_k	avg_temp_c	diur_temp_rng_c	max_temp_c	min_temp_c	precip_mm	city
2008	1	2008-01-01	19.95	299.277142857	300.535714286	294.668571429	308.2	294.1	21.4	78.67	19.95	16.26	10.7285714286	28.275	11.575	36.0	21.5		iq
2008	2	2008-01-08	71.84	296.095714286	296.535714286	295.2	302.1	293.3	62.61	95.28	71.84	16.6814285714	5.1	25.8	6.3	31.4	22.6	104.4	iq
2008	3	2008-01-15	95.97	298.034285714	299.478571429	297.09	305.5	292.4	63.92	94.9685714286	95.97	18.8657142857	8.58571428571	27.4333333333	9.46666666667	33.8	21.8	125.3	iq
2008	4	2008-01-22	102.59	297.207142857	298.342857143	296.25	304.8	294.8	93.43	95.1257142857	102.59	17.84	5.97142857143			31.3	21.9	46.3	iq
2008	5	2008-01-29	110.0	298.398571429	299.971428571	297.011428571	307.6	294.2	66.0	93.0	110.0	18.685714285699998	9.08571428571	27.5666666667	8.9	32.2	22.8	121.2	iq
2008	6	2008-02-05	38.72	299.49	300.76428571400004	294.62857142900003	308.4	293.5	28.0	78.13142857140001	38.72	16.2842857143	11.5571428571	27.866666666700002	11.1	34.5	20.5	5.1	iq
2008	7	2008-02-12	47.23	297.77	299.171428571	296.922857143	306.0	294.8	103.22	95.7071428571	47.23	18.5571428571	6.71428571429	26.6	8.03333333333	31.7	22.1	9.2	iq
2008	8	2008-02-19	122.64	297.095714286	298.321428571	295.608571429	304.1	292.9	33.9	92.37	122.64	17.13	7.614285714289999	28.0	10.8	33.4	22.0	115.3	iq
2008	9	2008-02-26	101.33	296.964285714	297.721428571	296.38142857099996	302.3	294.1	70.83	96.9271428571	101.33	17.9471428571	5.41428571429	26.85	8.35	32.5	22.5	127.6	iq
2008	10	2008-03-04	210.83	297.754285714	299.335714286	295.52	307.9	293.3	39.1	88.97285714290001	210.83	17.064285714300002	8.95714285714	27.18	8.88	33.3	21.9	119.6	iq
2008	11	2008-03-11	96.05	298.017142857	299.592857143	295.9	305.5	293.0	32.17	89.26857142860001	96.05	17.505714285699998	9.014285714289999	26.25	7.8	33.2	22.2	64.4	iq
2008	12	2008-03-18	91.87	296.755714286	297.992857143	295.47571428599997	305.0	293.3	90.5	93.45142857139999	91.87	16.997142857100002	7.214285714289999			31.7	22.0	100.9	iq
2008	13	2008-03-25	62.13	297.094285714	297.992857143	295.948571429	303.7	293.1	53.36	94.0742857143	62.13	17.5071428571	6.55714285714	26.9	8.26666666667	31.7	22.6	282.7	iq
